cardClass,cost,dbfId,flavor,id,name,rarity,spellSchool,text,type,attack,health,races,durability
MAGE,5.0,2539,"It's on the rack next to ice lance, acid lance, and English muffin lance.",AT_001,Flame Lance,COMMON,FIRE,"Deal $25 damage
to a minion.",SPELL,,,,
MAGE,3.0,2541,"Burning man, brah.",AT_002,Effigy,RARE,FIRE,"<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost.",SPELL,,,,
MAGE,2.0,2545,And he can't get up.,AT_003,Fallen Hero,RARE,,Your Hero Power deals 1 extra damage.,MINION,3.0,2.0,['UNDEAD'],
MAGE,1.0,2572,Now with 100% more blast!,AT_004,Arcane Blast,EPIC,ARCANE,Deal $2 damage to a minion. This spell gets double bonus from <b>Spell Damage</b>.,SPELL,,,,
MAGE,3.0,2542,It's always Huffer.,AT_005,Polymorph: Boar,RARE,ARCANE,Transform a minion into a 4/2 Boar with <b>Charge</b>.,SPELL,,,,
MAGE,4.0,2549,Is he aspiring or inspiring?  Make up your mind!,AT_006,Dalaran Aspirant,COMMON,,"<b>Spell Damage +1</b>
<b>Inspire:</b> Gain <b>Spell Damage +1</b>.",MINION,3.0,5.0,,
MAGE,3.0,2571,"Does he sling spells, or do his spells linger about.  Who can say?",AT_007,Spellslinger,COMMON,,"<b>Battlecry:</b> Both players
get a random spell.
Yours costs (2) less.",MINION,3.0,4.0,,
MAGE,6.0,2544,"The Grand Tournament has a ""No dragons allowed"" policy, but it's rarely enforced.",AT_008,Coldarra Drake,EPIC,,You can use your Hero Power any number of times.,MINION,6.0,7.0,['DRAGON'],
MAGE,8.0,2546,A masterless shamurai.,AT_009,Rhonin,LEGENDARY,,<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.,MINION,7.0,7.0,,
HUNTER,5.0,2552,Not getting trampled is really the trick here.,AT_010,Ram Wrangler,RARE,,"<b>Battlecry:</b> If you have a Beast, summon a
random Beast.",MINION,3.0,3.0,,
PRIEST,2.0,2555,She really likes seeing people get better.  That's why she hurts them in the first place.,AT_011,Holy Champion,COMMON,,<b>Overheal:</b> Gain +2 Attack.,MINION,1.0,4.0,,
PRIEST,5.0,2551,What did you expect to happen?  He's a Spawn.  Of Shadows.,AT_012,Spawn of Shadows,RARE,,"<b>Battlecry and Inspire:</b>
Deal 4 damage to
each hero.",MINION,5.0,5.0,['UNDEAD'],
PRIEST,1.0,2568,The promise of glory is a powerful tool to get minions to do your bidding.  Only slightly less powerful than the promise of an ice cream bar!,AT_013,Power Word: Glory,COMMON,HOLY,"Choose a minion. Whenever it attacks, restore 4 Health to
your hero.",SPELL,,,,
PRIEST,2.0,2566,"Hopes to be promoted to ""Shadowfriend"" someday.",AT_014,Shadowfiend,EPIC,,"Whenever you draw a card, reduce its Cost by (1).",MINION,2.0,3.0,,
PRIEST,3.0,2563,"""Are you interested in... HEALTH benefits?!""",AT_015,Convert,RARE,,Put a copy of an enemy minion into your hand. It costs (1).,SPELL,,,,
PRIEST,2.0,2564,This minion is really powerful!,AT_016,Confuse,EPIC,SHADOW,Swap the Attack and Health of all minions.,SPELL,,,,
NEUTRAL,4.0,2569,"A result of magical experiments carried out by the Black Dragonflight, it's not his fault that he's a vicious killer.",AT_017,Twilight Guardian,EPIC,,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",MINION,2.0,6.0,['DRAGON'],
PRIEST,7.0,2556,She sees into your past and makes you face your fears.  Most common fear:  Getting Majordomo out of Sneed's Old Shredder.,AT_018,Confessor Paletress,LEGENDARY,,<b>Battlecry and Inspire:</b> Summon a random <b>Legendary</b> minion.,MINION,5.0,4.0,,
WARLOCK,4.0,2822,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",AT_019,Dreadsteed,EPIC,,"<b>Deathrattle:</b> At the end
 of the turn, summon a Dreadsteed.",MINION,1.0,1.0,['DEMON'],
WARLOCK,7.0,2624,"They were originally called Cuddleguards, but they were not inspiring the proper amount of fear.",AT_020,Fearsome Doomguard,COMMON,,,MINION,6.0,8.0,['DEMON'],
WARLOCK,2.0,2777,"""No, no, no. I asked for a tiny JESTER of evil.""",AT_021,Tiny Knight of Evil,RARE,,"Whenever you discard a card, gain +2/+1.",MINION,3.0,2.0,['DEMON'],
WARLOCK,4.0,2628,* Not actually Jaraxxus' fist.,AT_022,Fist of Jaraxxus,RARE,FEL,"When you play or discard this, deal $4 damage to a random enemy.",SPELL,,,,
WARLOCK,6.0,2537,"We like to call him ""Wesley"".",AT_023,Void Crusher,RARE,,<b>Inspire:</b> Destroy a random minion for each player.,MINION,5.0,4.0,['DEMON'],
